h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24,h25,h26,h27,h28,h29,h30,h31,h32,h33,label
0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,8.0039,68.387,23.609,0,0,0,0,0,0,0,0,0,76.391,23.609,0,0,0,0,0
0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,16.214,68.8,14.986,0,0,0,0,0,0,0,0,0,77.387,22.613,0,0,0,0,0
0,0,0,0,0,89.362,0,0,10.638,0,0,0,0,0,0,7.0994,59.018,23.245,10.638,0,0,0,0,0,0,0,0,75.164,14.199,0,0,10.638,0,0
0,0,0,0,0,83.634,0,0,16.366,0,0,0,0,0,0,14.248,40.891,44.861,0,0,0,0,0,0,0,0,0,55.139,28.495,0,0,16.366,0,0
0,0,5.1496,0,0,84.276,0,0,10.574,0,0,0,0,0,0,10.652,73.624,15.724,0,0,0,0,5.1496,0,0,0,5.1496,68.475,10.652,0,0,10.574,0,0
0,0,6.0315,0,0,70.999,0,0,22.969,0,0,6.0315,0,0,0,3.0346,78.532,9.4051,0,2.9969,0,0,3.0346,0,2.9969,0,13.564,57.435,0,6.0315,0,3.3736,13.564,0
0,0,16.529,0,6.922,48.52,0,0,28.029,0,0,20.713,0,0,0,2.548,35.123,23.451,0,18.165,0,0,5.2864,0,11.243,0,21.298,27.222,0,2.548,18.165,6.922,7.3164,0
0,0,0,0,0,71.099,0,0,28.901,0,0,0,0,0,0,0,71.099,21.231,7.6702,0,0,0,0,0,0,0,0,71.099,0,0,0,28.901,0,0
0,0,0,0,0,66.667,0,0,33.333,0,0,0,0,0,0,0,66.667,22.316,11.018,0,0,0,0,0,0,0,11.018,55.649,0,0,0,33.333,0,0
0,0,0,0,0,77.945,0,0,22.055,0,0,0,0,0,0,0,69.486,15.74,14.774,0,0,0,0,0,0,0,14.774,54.713,8.4589,0,0,22.055,0,0
0,0,0,0,0,70.411,0,0,29.589,0,0,0,0,0,0,0,70.411,11.909,17.681,0,0,0,0,0,0,0,5.7853,64.626,0,0,0,29.589,0,0
0,0,0,0,0,81.048,0,0,18.952,0,0,0,0,0,0,14.381,66.667,18.952,0,0,0,0,0,0,0,0,18.952,47.715,14.381,0,0,18.952,0,0
0,0,0,0,0,67.955,0,0,32.045,0,0,0,0,0,0,0,67.955,32.045,0,0,0,0,0,0,0,0,11.908,56.047,0,0,0,32.045,0,0
